GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
310M300US48260,48260,"Weirton-Steubenville, WV-OH Metro Area",124454,124455,124279,123327,122479,121938,121312,120519,119271
310M300US48300,48300,"Wenatchee, WA Metro Area",110884,110895,111301,112100,112962,113418,114258,116007,117665
310M300US48540,48540,"Wheeling, WV-OH Metro Area",147950,147951,147856,147064,146331,145736,144799,144058,142982
310M300US48620,48620,"Wichita, KS Metro Area",630919,630919,631911,633220,636054,638198,640588,643016,644672
310M300US48660,48660,"Wichita Falls, TX Metro Area",151306,151476,151648,150369,151102,151710,152222,150557,150734
310M300US48700,48700,"Williamsport, PA Metro Area",116111,116108,116196,116677,117319,116720,116450,115829,115248
310M300US48900,48900,"Wilmington, NC Metro Area",254884,254883,255657,259265,263073,268179,272567,277548,282573
310M300US49020,49020,"Winchester, VA-WV Metro Area",128472,128480,128703,130030,131010,132164,133350,133866,135238
310M300US49180,49180,"Winston-Salem, NC Metro Area",640595,640580,641413,644720,647510,650902,654604,657846,662079
310M300US49340,49340,"Worcester, MA-CT Metro Area",916980,916822,918873,922177,924204,927898,931218,934233,935781
310M300US49420,49420,"Yakima, WA Metro Area",243231,243237,244324,246223,246568,246911,247175,248115,249636
310M300US49620,49620,"York-Hanover, PA Metro Area",434972,434998,435540,436845,437641,439117,440590,441929,443744
310M300US49660,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",565773,565799,564881,562450,558954,556106,553407,549390,544746
310M300US49700,49700,"Yuba City, CA Metro Area",166892,166891,167152,167162,167263,168034,169012,170277,171926
310M300US49740,49740,"Yuma, AZ Metro Area",195751,195750,197071,202539,202160,201851,203111,203706,205631
