GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
310M300US40540,40540,"Rock Springs, WY Micro Area",43806,43806,43569,44013,45042,45145,44981,44732,44245,43534
310M300US40620,40620,"Rolla, MO Micro Area",45156,45154,45311,45211,45220,45024,44970,44799,44828,44744
310M300US40700,40700,"Roseburg, OR Micro Area",107667,107667,107612,107165,106865,106565,106657,107152,108100,109405
310M300US40740,40740,"Roswell, NM Micro Area",65645,65648,65729,65667,65688,65836,65642,65554,65371,64866
310M300US40760,40760,"Ruidoso, NM Micro Area",20497,20493,20450,20400,20188,19953,19568,19276,19294,19395
310M300US40780,40780,"Russellville, AR Micro Area",83939,83939,84247,84578,84367,84321,84810,85041,85338,85358
310M300US40820,40820,"Ruston, LA Micro Area",46735,46735,46858,47053,47090,47313,47342,47634,47647,47744
310M300US40860,40860,"Rutland, VT Micro Area",61642,61649,61573,61196,60776,60487,60068,59566,59172,59087
310M300US40940,40940,"Safford, AZ Micro Area",37220,37220,37158,37124,37009,37419,38064,37786,37767,37466
310M300US41220,41220,"St. Marys, GA Micro Area",50513,50513,50660,50308,51352,51413,51926,52462,52416,53044
310M300US41260,41260,"St. Marys, PA Micro Area",31946,31946,31846,31757,31578,31401,31094,30788,30423,30197
310M300US41400,41400,"Salem, OH Micro Area",107841,107841,107876,107386,106585,105908,105557,104632,103744,103077
310M300US41460,41460,"Salina, KS Micro Area",61697,61729,61911,61886,61924,61853,61594,61425,60989,60597
310M300US41760,41760,"Sandpoint, ID Micro Area",40877,40877,40908,40768,40342,40522,41285,41565,42343,43560
310M300US41780,41780,"Sandusky, OH Micro Area",77079,77066,76981,76675,76404,76011,75763,75310,74944,74817
310M300US41820,41820,"Sanford, NC Micro Area",57866,57858,57892,58588,59318,59874,59501,59476,59746,60430
310M300US42180,42180,"Santa Isabel, PR Micro Area",23274,23274,23290,23200,23095,23006,22762,22525,22217,21863
310M300US42300,42300,"Sault Ste. Marie, MI Micro Area",38520,38673,38614,38862,38957,38529,38212,37965,37696,37711
310M300US42380,42380,"Sayre, PA Micro Area",62622,62709,62724,63068,62969,62475,61876,61539,60986,60853
310M300US42420,42420,"Scottsbluff, NE Micro Area",38971,38971,39059,38933,38919,38864,38458,38296,38539,38308
310M300US42460,42460,"Scottsboro, AL Micro Area",53227,53226,53184,53212,53054,52923,52541,52207,52049,51909
310M300US42620,42620,"Searcy, AR Micro Area",77076,77076,77336,78005,78545,78471,78368,78835,78838,79016
310M300US42740,42740,"Sedalia, MO Micro Area",42201,42201,42259,42131,42293,42197,42206,42305,42280,42558
310M300US42780,42780,"Selinsgrove, PA Micro Area",39702,39709,39700,39773,39916,40227,40412,40745,40667,40801
310M300US42820,42820,"Selma, AL Micro Area",43820,43820,43863,43256,42795,41981,41559,40939,40081,39215
310M300US42860,42860,"Seneca, SC Micro Area",74273,74275,74342,74249,74560,74947,75195,75812,76407,77270
310M300US42900,42900,"Seneca Falls, NY Micro Area",35251,35244,35264,35318,35347,35236,34890,34811,34781,34498
310M300US42940,42940,"Sevierville, TN Micro Area",89889,89725,89948,91107,92231,93298,94570,95502,96609,97638
310M300US42980,42980,"Seymour, IN Micro Area",42376,42376,42585,42938,42999,43455,43719,43902,43933,43884
310M300US43020,43020,"Shawano, WI Micro Area",46181,46187,46205,46032,45862,45776,45835,45563,45478,45550
310M300US43060,43060,"Shawnee, OK Micro Area",69442,69442,69636,70025,70493,70884,71518,71460,71982,72226
310M300US43140,43140,"Shelby, NC Micro Area",98078,98030,97917,97435,97314,96874,97012,96868,97102,97334
310M300US43180,43180,"Shelbyville, TN Micro Area",45058,45056,45086,45227,45262,45584,46259,46892,47420,48117
310M300US43220,43220,"Shelton, WA Micro Area",60699,60696,60733,60858,60666,60462,60568,60984,62123,63710
310M300US43260,43260,"Sheridan, WY Micro Area",29116,29116,29123,29254,29528,29735,29888,29940,30049,30210
310M300US43320,43320,"Show Low, AZ Micro Area",107449,107489,107695,107518,107268,107077,107613,107543,108322,108956
310M300US43380,43380,"Sidney, OH Micro Area",49423,49418,49313,49214,49109,49122,48934,48967,48726,48759
310M300US43460,43460,"Sikeston, MO Micro Area",39191,39187,39245,39127,39144,39190,38852,38982,38723,38541
310M300US43500,43500,"Silver City, NM Micro Area",29514,29510,29381,29308,29208,29047,28820,28325,28033,27687
310M300US43660,43660,"Snyder, TX Micro Area",16921,16921,16932,16876,17102,17265,17399,17588,17430,17050
310M300US43700,43700,"Somerset, KY Micro Area",63063,63063,63185,63499,63505,63749,63830,63827,64014,64449
310M300US43740,43740,"Somerset, PA Micro Area",77742,77746,77781,77304,77051,76679,76292,75553,75070,74501
310M300US43760,43760,"Sonora, CA Micro Area",55365,55365,55188,54832,54237,54018,53852,53589,53787,54248
310M300US43940,43940,"Spearfish, SD Micro Area",24097,24090,24205,24329,24394,24949,24733,24796,25183,25429
310M300US43980,43980,"Spencer, IA Micro Area",16667,16667,16633,16595,16540,16442,16491,16508,16325,16170
310M300US44020,44020,"Spirit Lake, IA Micro Area",16667,16667,16670,16857,16924,16876,16830,16990,17104,17199
310M300US44260,44260,"Starkville, MS Micro Area",47671,47671,47738,47721,48808,49076,49024,49480,49579,49799
310M300US44340,44340,"Statesboro, GA Micro Area",70217,70251,70571,72687,73167,71873,72734,73233,74721,76149
310M300US44460,44460,"Steamboat Springs, CO Micro Area",23509,23506,23446,23246,23253,23569,24019,24310,24679,25220
310M300US44500,44500,"Stephenville, TX Micro Area",37890,37900,37912,38925,39414,39903,40543,41221,41443,41969
310M300US44540,44540,"Sterling, CO Micro Area",22709,22709,22139,22084,21867,21680,21958,21968,21925,21896
310M300US44580,44580,"Sterling, IL Micro Area",58498,58498,58481,58272,57764,57475,57036,56945,56541,56118
310M300US44620,44620,"Stevens Point, WI Micro Area",70019,70019,70022,70074,70410,70466,70416,70309,70188,70474
310M300US44660,44660,"Stillwater, OK Micro Area",77350,77350,77409,78021,78507,79427,80194,80726,81249,81575
310M300US44740,44740,"Storm Lake, IA Micro Area",20260,20260,20331,20282,20562,20612,20551,20302,20268,20110
310M300US44780,44780,"Sturgis, MI Micro Area",61295,61295,61281,61047,60938,60929,60959,60785,60832,60947
310M300US44860,44860,"Sulphur Springs, TX Micro Area",35161,35161,35204,35253,35313,35302,35683,35959,36203,36496
310M300US44900,44900,"Summerville, GA Micro Area",26015,26015,25950,25677,25619,25044,24859,24896,24833,24770
310M300US44920,44920,"Summit Park, UT Micro Area",36324,36324,36500,37438,37899,38461,39099,39599,40390,41106
310M300US44980,44980,"Sunbury, PA Micro Area",94528,94514,94326,94397,94444,93953,93709,93020,92479,92029
310M300US45000,45000,"Susanville, CA Micro Area",34895,34895,34831,34244,33632,32135,31716,31393,30944,31163
310M300US45020,45020,"Sweetwater, TX Micro Area",15216,15217,15249,15129,14892,15055,15114,15041,14968,14770
310M300US45140,45140,"Tahlequah, OK Micro Area",46987,46985,47107,47673,47964,47856,48215,48312,48751,48888
310M300US45180,45180,"Talladega-Sylacauga, AL Micro Area",93830,94049,93889,93276,93419,92750,92479,91970,91195,90819
310M300US45340,45340,"Taos, NM Micro Area",32937,32938,32896,32869,32718,32840,32854,32698,32857,32795
310M300US45380,45380,"Taylorville, IL Micro Area",34800,34800,34771,34703,34517,34151,33816,33470,33271,33102
310M300US45520,45520,"The Dalles, OR Micro Area",25213,25211,25280,25192,25370,25333,25293,25500,25871,26437
310M300US45580,45580,"Thomaston, GA Micro Area",27153,27153,27060,26928,26572,26440,26178,26240,26213,26135
310M300US45620,45620,"Thomasville, GA Micro Area",44720,44719,44748,44603,44560,44817,44909,44950,45090,44779
310M300US45660,45660,"Tiffin, OH Micro Area",56745,56742,56616,56505,56084,55813,55761,55569,55357,55243
310M300US45700,45700,"Tifton, GA Micro Area",40118,40131,40256,41199,41006,40243,40536,40626,40650,40598
310M300US45740,45740,"Toccoa, GA Micro Area",26175,26172,26136,25774,25735,25583,25441,25485,25724,25890
310M300US45860,45860,"Torrington, CT Micro Area",189927,189926,189829,189076,187685,187062,185585,184349,183097,182177
310M300US45900,45900,"Traverse City, MI Micro Area",143372,143366,143339,144297,144956,146155,147221,147756,148231,148671
310M300US45980,45980,"Troy, AL Micro Area",32899,32899,32967,32967,33093,33563,33016,33372,33215,33267
310M300US46020,46020,"Truckee-Grass Valley, CA Micro Area",98764,98748,98791,98714,98173,97992,98614,98715,99053,99814
310M300US46100,46100,"Tullahoma-Manchester, TN Micro Area",100210,100209,100064,100100,100132,100748,101087,101674,102288,103070
310M300US46180,46180,"Tupelo, MS Micro Area",136268,136268,136349,137052,138386,139009,138939,139082,139656,140081
310M300US46300,46300,"Twin Falls, ID Micro Area",99604,99604,100016,100579,100947,102309,103653,104929,106793,108751
310M300US46380,46380,"Ukiah, CA Micro Area",87841,87840,87799,87367,87376,87164,87375,87318,87609,88018
310M300US46460,46460,"Union City, TN-KY Micro Area",38620,38620,38627,38413,37869,37398,37082,36828,36706,36577
310M300US46500,46500,"Urbana, OH Micro Area",40097,40093,40072,39811,39561,39447,39061,38941,38737,38840
