GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
310M300US36860,36860,"Ottawa-Peru, IL Micro Area",154908,154899,154749,154302,153339,152598,151557,150411,149612
310M300US36900,36900,"Ottumwa, IA Micro Area",44378,44378,44418,44194,44054,44141,43989,44025,43842
310M300US36940,36940,"Owatonna, MN Micro Area",36576,36576,36504,36562,36295,36375,36547,36683,36805
310M300US37020,37020,"Owosso, MI Micro Area",70648,70648,70602,69952,69263,68825,68839,68517,68554
310M300US37060,37060,"Oxford, MS Micro Area",47351,47359,47563,48416,50367,51633,52154,53014,53796
310M300US37080,37080,"Oxford, NC Micro Area",59916,57527,57649,57657,57764,58034,58329,58549,59031
310M300US37120,37120,"Ozark, AL Micro Area",50251,50247,50360,50119,50296,49753,49389,49370,49226
310M300US37140,37140,"Paducah, KY-IL Micro Area",98762,98760,98734,98894,98543,97981,97783,97268,97143
310M300US37220,37220,"Pahrump, NV Micro Area",43946,43945,43858,44043,43658,42922,42903,43086,43423
310M300US37260,37260,"Palatka, FL Micro Area",74364,74364,74245,73688,73021,72377,71936,71910,72277
310M300US37300,37300,"Palestine, TX Micro Area",58458,58458,58482,58350,58019,57894,57725,57487,57734
310M300US37420,37420,"Pampa, TX Micro Area",22535,22535,22458,22581,22834,22926,23420,23236,22725
310M300US37500,37500,"Paragould, AR Micro Area",42090,42090,42187,42732,43166,43078,43717,44167,44598
310M300US37540,37540,"Paris, TN Micro Area",32330,32354,32404,32379,32373,32253,32315,32205,32310
310M300US37580,37580,"Paris, TX Micro Area",49793,49789,49818,49945,49837,49278,49586,49636,49791
310M300US37660,37660,"Parsons, KS Micro Area",21607,21607,21544,21424,21206,20913,20852,20749,20444
310M300US37740,37740,"Payson, AZ Micro Area",53597,53597,53539,53486,53036,53039,53124,53138,53556
310M300US37780,37780,"Pecos, TX Micro Area",13783,13783,13815,13777,13925,14126,14429,14789,14921
310M300US37800,37800,"Pella, IA Micro Area",33309,33309,33232,33319,33315,33077,33261,33141,33189
310M300US37940,37940,"Peru, IN Micro Area",36903,36903,36799,36590,36504,36145,36031,35902,35883
310M300US38100,38100,"Picayune, MS Micro Area",55834,55747,55723,55463,55092,54943,55325,55163,55310
310M300US38180,38180,"Pierre, SD Micro Area",21361,21361,21414,21642,21837,21831,21990,21889,22014
310M300US38240,38240,"Pinehurst-Southern Pines, NC Micro Area",88247,88250,88607,89389,90376,91638,93126,94436,95776
310M300US38260,38260,"Pittsburg, KS Micro Area",39134,39134,39177,39198,39369,39312,39327,39231,39164
310M300US38380,38380,"Plainview, TX Micro Area",36273,36229,36300,36387,36284,35751,34537,34201,34263
310M300US38420,38420,"Platteville, WI Micro Area",51208,51208,51204,51244,51018,51219,51861,52303,52214
310M300US38460,38460,"Plattsburgh, NY Micro Area",82128,82131,82068,81852,81869,81749,81682,81154,81073
310M300US38500,38500,"Plymouth, IN Micro Area",47051,47047,47007,46951,46972,46945,46938,46756,46556
310M300US38580,38580,"Point Pleasant, WV-OH Micro Area",58258,58272,58444,58325,58076,57728,57421,57115,56840
310M300US38620,38620,"Ponca City, OK Micro Area",46562,46562,46429,45815,45681,45550,45508,45309,44943
310M300US38700,38700,"Pontiac, IL Micro Area",38950,38950,38872,38840,38553,37444,37116,36749,36526
310M300US38740,38740,"Poplar Bluff, MO Micro Area",42794,42794,42797,42989,43004,42970,42865,42859,42739
310M300US38780,38780,"Portales, NM Micro Area",19846,19840,20007,20461,20341,19996,19599,19074,19082
310M300US38820,38820,"Port Angeles, WA Micro Area",71404,71404,71529,71775,71824,72206,72722,73522,74570
310M300US38840,38840,"Port Clinton, OH Micro Area",41428,41434,41394,41391,41307,41086,41019,40859,40636
310M300US38920,38920,"Port Lavaca, TX Micro Area",21381,21381,21327,21353,21573,21759,21805,21922,21965
310M300US39020,39020,"Portsmouth, OH Micro Area",79499,79499,79529,79226,78586,78068,77338,76752,76088
310M300US39060,39060,"Pottsville, PA Micro Area",148289,148289,148213,147621,147302,146758,145559,144321,143573
310M300US39220,39220,"Price, UT Micro Area",21403,21403,21421,21329,21242,20935,20659,20430,20399
310M300US39260,39260,"Prineville, OR Micro Area",20978,20978,20899,20675,20642,20776,21036,21647,22570
310M300US39420,39420,"Pullman, WA Micro Area",44776,44778,44799,45088,46662,46870,46936,48150,48851
310M300US39500,39500,"Quincy, IL-MO Micro Area",77314,77312,77351,77445,77323,77133,77147,77160,76712
310M300US39700,39700,"Raymondville, TX Micro Area",22134,22137,22204,22129,22139,21977,21909,21883,21810
310M300US39780,39780,"Red Bluff, CA Micro Area",63463,63440,63571,63254,63133,62835,62756,63073,63276
310M300US39860,39860,"Red Wing, MN Micro Area",46183,46182,46201,46282,46399,46390,46349,46438,46676
