GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
310M400US17340,17340,"Clearlake, CA Micro Area",64665,64664,64735,64247,63963,63809,64058,64254,63884,64162,64382
310M400US17380,17380,"Cleveland, MS Micro Area",34145,34153,34105,33804,33997,33986,33822,33279,32631,31895,31333
310M400US17500,17500,"Clewiston, FL Micro Area",39140,39143,39013,38977,37887,37831,38508,39325,40103,41144,41556
310M400US17540,17540,"Clinton, IA Micro Area",49116,49117,49097,49093,48698,48279,47894,47550,47228,46902,46518
310M400US17580,17580,"Clovis, NM Micro Area",48376,48376,48963,49806,50799,50775,51115,50299,50303,49842,49437
310M400US17620,17620,"Coamo, PR Micro Area",40512,40512,40576,40569,40467,40411,40158,39879,39483,38959,37845
310M400US17640,17640,"Coco, PR Micro Area",31078,31078,31042,30761,30410,30177,29739,29293,28807,28244,27083
310M400US17700,17700,"Coffeyville, KS Micro Area",35471,35468,35353,34781,34475,34449,34095,33426,32820,32388,32120
310M400US17740,17740,"Coldwater, MI Micro Area",45248,45248,45180,43923,43795,43587,43731,43653,43490,43423,43622
310M400US18060,18060,"Columbus, MS Micro Area",59779,59779,59796,59613,59606,59811,59813,59695,59558,59189,58930
310M400US18100,18100,"Columbus, NE Micro Area",32237,32237,32305,32513,32674,32603,32752,32890,33028,33282,33363
310M400US18180,18180,"Concord, NH Micro Area",146445,146457,146394,146858,147106,147511,148141,148670,149150,150169,151132
310M400US18220,18220,"Connersville, IN Micro Area",24277,24301,24326,24150,23949,23829,23444,23393,23257,23153,23047
310M400US18260,18260,"Cookeville, TN Micro Area",106042,106061,106270,106730,107186,107618,108411,108659,109524,111033,112669
310M400US18300,18300,"Coos Bay, OR Micro Area",63043,63054,63011,62775,62678,62380,62367,62654,63347,63781,64389
310M400US18380,18380,"Cordele, GA Micro Area",23439,23430,23429,23750,23587,23294,23063,22949,22893,22723,22601
310M400US18420,18420,"Corinth, MS Micro Area",37057,37060,37106,37275,37203,37278,37250,37273,37249,37203,36925
310M400US18460,18460,"Cornelia, GA Micro Area",43041,43036,43064,43045,43393,43177,43583,43804,44123,44547,45388
310M400US18500,18500,"Corning, NY Micro Area",98990,98990,99012,99145,98926,98845,98173,97524,96895,96249,95796
310M400US18620,18620,"Corsicana, TX Micro Area",47735,47840,47872,48077,48177,48060,47947,48209,48417,48779,49565
310M400US18660,18660,"Cortland, NY Micro Area",49336,49294,49283,49378,49027,48907,48743,48296,47919,47836,47823
310M400US18740,18740,"Coshocton, OH Micro Area",36901,36898,36936,36926,36820,36722,36529,36578,36616,36516,36629
310M400US18780,18780,"Craig, CO Micro Area",13795,13791,13794,13421,13169,13124,12934,12938,13143,13095,13188
310M400US18820,18820,"Crawfordsville, IN Micro Area",38124,38121,38097,38332,38173,38135,38144,38242,38249,38397,38346
310M400US18860,18860,"Crescent City, CA Micro Area",28610,28610,28568,28442,28189,27817,27198,27246,27422,27428,27828
310M400US18900,18900,"Crossville, TN Micro Area",56053,56062,56197,56529,56900,57341,57851,58137,58506,59005,59673
310M400US18980,18980,"Cullman, AL Micro Area",80406,80406,80454,80401,80273,80688,81067,81764,82456,82836,83442
310M400US19000,19000,"Cullowhee, NC Micro Area",40271,40261,40357,40223,40617,40984,40907,41281,42573,43192,43327
310M400US19220,19220,"Danville, KY Micro Area",53174,53173,53389,53515,53427,54074,54239,54105,54309,54456,54744
310M400US19260,19260,"Danville, VA Micro Area",106561,106550,106513,105902,105605,105191,104645,103937,103351,102363,101642
310M400US19420,19420,"Dayton, TN Micro Area",31809,31800,31854,32076,32332,32491,32558,32372,32425,32742,33044
310M400US19540,19540,"Decatur, IN Micro Area",34387,34387,34451,34374,34408,34654,34768,34958,35192,35422,35636
310M400US19580,19580,"Defiance, OH Micro Area",39037,39030,39086,39003,38826,38565,38524,38328,38156,38224,38165
310M400US19620,19620,"Del Rio, TX Micro Area",48879,48879,48980,48980,48991,49069,48877,48951,49003,49096,49208
310M400US19700,19700,"Deming, NM Micro Area",25095,25095,25082,25105,24926,24607,24448,24382,24379,24148,23963
310M400US19760,19760,"DeRidder, LA Micro Area",35654,35654,35834,36090,36335,36267,36248,36530,36966,36847,37253
310M400US19860,19860,"Dickinson, ND Micro Area",24199,24199,24360,25185,26902,28319,30318,31869,30881,30317,30997
310M400US19940,19940,"Dixon, IL Micro Area",36031,36031,35976,35597,35207,35116,34904,34515,34482,34511,34223
310M400US19980,19980,"Dodge City, KS Micro Area",33848,33844,34009,34381,34679,34900,34958,34693,34594,34288,33888
310M400US20060,20060,"Douglas, GA Micro Area",42356,42354,42735,43004,43135,43092,42899,43000,42929,42885,43093
310M400US20140,20140,"Dublin, GA Micro Area",58414,58417,58383,57905,57866,57660,57406,57222,56966,57113,57033
310M400US20180,20180,"DuBois, PA Micro Area",81642,81616,81553,81430,81406,81435,81020,80717,80178,79775,79388
310M400US20300,20300,"Dumas, TX Micro Area",21904,21904,22007,22076,22438,22158,22006,21825,21810,21878,21485
310M400US20340,20340,"Duncan, OK Micro Area",45048,45048,45103,45117,44904,45006,44593,44607,44037,43411,43265
310M400US20380,20380,"Dunn, NC Micro Area",114678,114681,115742,119158,122197,125032,126704,128027,130631,132229,134214
310M400US20420,20420,"Durango, CO Micro Area",51334,51335,51343,51794,52369,53287,53788,54609,55258,55541,56310
310M400US20460,20460,"Durant, OK Micro Area",42416,42416,42583,43137,43451,44118,44495,45041,45607,46460,47192
310M400US20540,20540,"Dyersburg, TN Micro Area",38335,38330,38316,38110,38181,38090,37811,37775,37570,37403,37320
310M400US20580,20580,"Eagle Pass, TX Micro Area",54258,54258,54448,55292,55808,56593,57197,57806,58134,58227,58485
310M400US20660,20660,"Easton, MD Micro Area",37782,37777,37874,37941,37983,37898,37529,37414,37123,37020,36968
310M400US20780,20780,"Edwards, CO Micro Area",52197,52196,52104,52072,52366,52857,53323,53896,54579,54992,54993
310M400US20820,20820,"Effingham, IL Micro Area",34242,34246,34223,34265,34270,34215,34119,34209,34186,34147,34208
310M400US20900,20900,"El Campo, TX Micro Area",41280,41280,41281,41289,41149,41142,41124,41426,41668,41916,41619
310M400US20980,20980,"El Dorado, AR Micro Area",41639,41639,41573,41398,40862,40606,40140,40093,39883,39420,39126
310M400US21020,21020,"Elizabeth City, NC Micro Area",64094,64094,64119,63780,63967,63300,63255,63158,63241,63497,63771
310M400US21120,21120,"Elk City, OK Micro Area",22119,22119,22060,22306,23069,23469,23599,23561,22433,21804,21709
310M400US21180,21180,"Elkins, WV Micro Area",29405,29405,29363,29430,29390,29522,29374,29206,29028,28894,28823
310M400US21220,21220,"Elko, NV Micro Area",50805,50929,51075,51413,52971,54405,54545,53776,54059,54321,54463
310M400US21260,21260,"Ellensburg, WA Micro Area",40915,40909,40989,41549,41624,41830,42597,43092,44913,46157,47364
310M400US21380,21380,"Emporia, KS Micro Area",33690,33692,33649,33650,33557,33489,33154,33165,33425,33344,33406
310M400US21460,21460,"Enterprise, AL Micro Area",49948,49952,50205,50435,51136,50677,50655,50952,51145,51777,51909
310M400US21540,21540,"Escanaba, MI Micro Area",37069,37069,37049,36941,36835,36802,36581,36417,36200,35896,35857
310M400US21580,21580,"Española, NM Micro Area",40246,40220,40289,40246,40197,40069,39739,39364,39233,39191,39006
310M400US21640,21640,"Eufaula, AL-GA Micro Area",29970,29968,29843,29805,29582,29313,29047,28575,28145,27506,27160
310M400US21700,21700,"Eureka-Arcata-Fortuna, CA Micro Area",134623,134611,135000,135215,134560,134407,134514,135114,136314,136527,136373
310M400US21740,21740,"Evanston, WY Micro Area",21118,21121,21089,20893,20994,20953,20827,20770,20691,20456,20299
310M400US21840,21840,"Fairfield, IA Micro Area",16843,16840,16836,17092,17274,17629,17792,17916,18064,18233,18381
310M400US21860,21860,"Fairmont, MN Micro Area",20840,20843,20804,20619,20456,20419,20241,20034,19902,19858,19785
310M400US21900,21900,"Fairmont, WV Micro Area",56418,56418,56533,56670,56745,56710,56780,56744,56497,56369,56097
310M400US21980,21980,"Fallon, NV Micro Area",24877,24877,24819,24591,24243,23923,23819,23934,23869,23989,24440
310M400US22060,22060,"Faribault-Northfield, MN Micro Area",64142,64142,64242,64454,64436,64642,64997,65307,65825,66173,66523
310M400US22100,22100,"Farmington, MO Micro Area",65359,65367,65529,65574,65799,66102,65785,66228,66350,66653,66692
310M400US22260,22260,"Fergus Falls, MN Micro Area",57303,57303,57294,57278,57221,57498,57488,57544,57865,58251,58812
310M400US22280,22280,"Fernley, NV Micro Area",51980,51980,52043,51380,50969,51094,51339,51986,52726,53915,55808
