GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
310M300US12220,12220,"Auburn-Opelika, AL Metro Area",140247,140296,140806,144117,148318,151445,154211,156740,158983,161604
310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",564873,564873,566492,570777,576149,579670,583198,589688,594889,600151
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",1716289,1716320,1727495,1780610,1834566,1883528,1942255,2000784,2060558,2115827
310M300US12540,12540,"Bakersfield, CA Metro Area",839631,839621,841116,848767,855237,864014,871895,879607,885086,893119
310M300US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",2710489,2710603,2715503,2734969,2756285,2771586,2784424,2795036,2801028,2808175
310M300US12620,12620,"Bangor, ME Metro Area",153923,153920,153841,153713,153372,153075,152941,151934,151515,151957
310M300US12700,12700,"Barnstable Town, MA Metro Area",215888,215868,215877,215340,214787,214566,214279,213773,213440,213444
310M300US12940,12940,"Baton Rouge, LA Metro Area",802484,802500,804359,808105,813476,819304,824923,829719,835596,834159
310M300US12980,12980,"Battle Creek, MI Metro Area",136146,136148,135941,135039,134605,134572,134602,134154,134178,134128
310M300US13020,13020,"Bay City, MI Metro Area",107771,107771,107676,107382,106930,106761,106025,105244,104481,104239
310M300US13140,13140,"Beaumont-Port Arthur, TX Metro Area",403190,403194,403697,405356,403895,405471,405754,408744,410909,412437
310M300US13220,13220,"Beckley, WV Metro Area",124898,124913,124959,125183,125014,124277,123291,122022,120361,118543
310M300US13380,13380,"Bellingham, WA Metro Area",201140,201145,201520,203447,204878,206189,208112,211713,216274,221404
310M300US13460,13460,"Bend-Redmond, OR Metro Area",157733,157733,157740,159605,161343,165270,169497,174288,180675,186875
310M300US13740,13740,"Billings, MT Metro Area",158934,158934,159297,160622,162568,164783,166360,167531,168961,170498
310M300US13780,13780,"Binghamton, NY Metro Area",251725,251737,251519,250321,249064,248323,247469,245615,243608,242217
310M300US13820,13820,"Birmingham-Hoover, AL Metro Area",1128047,1128056,1128791,1130457,1133409,1138173,1141099,1144518,1146888,1149807
310M300US13900,13900,"Bismarck, ND Metro Area",114778,114778,115253,117318,120233,123885,126704,129583,131397,132142
310M300US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",178237,178253,178530,178949,179572,180862,181357,181464,182635,182993
310M300US14010,14010,"Bloomington, IL Metro Area",186133,186133,186398,187325,189016,191110,189944,188905,188847,188232
310M300US14020,14020,"Bloomington, IN Metro Area",159549,159541,160086,161603,162653,163039,164434,165056,166614,167825
310M300US14100,14100,"Bloomsburg-Berwick, PA Metro Area",85562,85563,85655,85415,85458,85563,85484,84950,84382,84204
310M300US14260,14260,"Boise City, ID Metro Area",616561,616568,617980,627349,637354,649140,662625,674310,690810,709845
310M300US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4552402,4552596,4565220,4608303,4653023,4699912,4741544,4775755,4805942,4836531
310M300US14500,14500,"Boulder, CO Metro Area",294567,294572,295930,300518,305028,309749,312505,317968,321173,322514
310M300US14540,14540,"Bowling Green, KY Metro Area",158599,158599,159309,160913,162296,164246,166221,169108,171839,174835
310M300US14740,14740,"Bremerton-Silverdale, WA Metro Area",251133,251137,251658,254250,254306,252434,253381,259175,263109,266414
310M300US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",916829,916846,919749,929398,936345,942865,946547,948116,949191,949921
310M300US15180,15180,"Brownsville-Harlingen, TX Metro Area",406220,406219,407590,412917,415370,417095,418838,419579,421766,423725
310M300US15260,15260,"Brunswick, GA Metro Area",112370,112368,112530,112945,113361,113860,114735,116020,116955,118119
310M300US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135509,1135617,1135710,1136059,1135717,1136993,1137924,1136662,1134914,1136856
310M300US15500,15500,"Burlington, NC Metro Area",151131,151198,151490,152857,153471,154417,155698,157389,159325,162391
310M300US15540,15540,"Burlington-South Burlington, VT Metro Area",211261,211262,211514,212774,213744,214940,216182,216812,217429,218395
310M300US15680,15680,"California-Lexington Park, MD Metro Area",105151,105148,105764,107585,108831,109275,110016,111100,111835,112667
